,lat_northernrockies,lon_northernrockies
437,42.96875,-111.15625
438,42.96875,-111.09375
439,42.96875,-110.96875
440,42.96875,-110.90625
441,42.96875,-110.84375
442,42.96875,-110.78125
443,42.96875,-110.71875
444,42.96875,-110.65625
445,42.96875,-110.59375
446,42.96875,-110.53125
447,42.96875,-110.46875
448,42.96875,-110.40625
449,42.96875,-110.34375
450,42.96875,-110.28125
451,42.96875,-110.21875
452,42.96875,-110.15625
453,42.96875,-110.09375
454,42.96875,-110.03125
455,42.96875,-109.96875
456,42.96875,-109.90625
457,42.96875,-109.84375
458,42.96875,-109.78125
459,42.96875,-109.71875
460,42.96875,-109.65625
461,42.96875,-109.59375
462,42.96875,-109.53125
463,42.96875,-109.46875
464,42.96875,-109.40625
465,42.96875,-109.34375
466,42.96875,-109.28125
467,42.96875,-109.21875
468,42.96875,-109.15625
469,42.96875,-109.09375
470,42.96875,-109.03125
471,43.03125,-112.15625
472,43.03125,-112.09375
473,43.03125,-112.03125
474,43.03125,-111.96875
475,43.03125,-111.90625
476,43.03125,-111.84375
477,43.03125,-111.78125
478,43.03125,-111.71875
479,43.03125,-111.65625
480,43.03125,-111.59375
481,43.03125,-111.53125
482,43.03125,-111.46875
483,43.03125,-111.40625
484,43.03125,-111.34375
485,43.03125,-111.28125
486,43.03125,-111.21875
487,43.03125,-111.15625
488,43.03125,-111.09375
489,43.03125,-110.96875
490,43.03125,-110.90625
491,43.03125,-110.84375
492,43.03125,-110.78125
493,43.03125,-110.71875
494,43.03125,-110.65625
495,43.03125,-110.59375
496,43.03125,-110.53125
497,43.03125,-110.46875
498,43.03125,-110.40625
499,43.03125,-110.34375
500,43.03125,-110.28125
501,43.03125,-110.21875
502,43.03125,-110.15625
503,43.03125,-110.09375
504,43.03125,-110.03125
505,43.03125,-109.96875
506,43.03125,-109.90625
507,43.03125,-109.84375
508,43.03125,-109.78125
509,43.03125,-109.71875
510,43.03125,-109.65625
511,43.03125,-109.59375
512,43.03125,-109.53125
513,43.03125,-109.46875
514,43.03125,-109.40625
515,43.03125,-109.34375
516,43.03125,-109.28125
517,43.03125,-109.21875
518,43.03125,-109.15625
519,43.03125,-109.09375
520,43.09375,-112.15625
521,43.09375,-112.09375
522,43.09375,-112.03125
523,43.09375,-111.96875
524,43.09375,-111.90625
525,43.09375,-111.84375
526,43.09375,-111.78125
527,43.09375,-111.71875
528,43.09375,-111.65625
529,43.09375,-111.59375
530,43.09375,-111.53125
531,43.09375,-111.46875
532,43.09375,-111.40625
533,43.09375,-111.34375
534,43.09375,-111.28125
535,43.09375,-111.21875
536,43.09375,-111.15625
537,43.09375,-111.09375
538,43.09375,-111.03125
539,43.09375,-110.96875
540,43.09375,-110.90625
541,43.09375,-110.84375
542,43.09375,-110.78125
543,43.09375,-110.71875
544,43.09375,-110.65625
545,43.09375,-110.59375
546,43.09375,-110.53125
547,43.09375,-110.46875
548,43.09375,-110.40625
549,43.09375,-110.34375
550,43.09375,-110.28125
551,43.09375,-110.21875
552,43.09375,-110.15625
553,43.09375,-110.09375
554,43.09375,-110.03125
555,43.09375,-109.96875
556,43.09375,-109.90625
557,43.09375,-109.84375
558,43.09375,-109.78125
559,43.09375,-109.71875
560,43.09375,-109.65625
561,43.09375,-109.59375
562,43.09375,-109.53125
563,43.09375,-109.46875
564,43.09375,-109.40625
565,43.09375,-109.34375
566,43.09375,-109.28125
567,43.09375,-109.21875
568,43.09375,-109.15625
569,43.15625,-115.34375
570,43.15625,-115.28125
571,43.15625,-115.21875
572,43.15625,-115.15625
573,43.15625,-115.09375
574,43.15625,-115.03125
575,43.15625,-114.96875
576,43.15625,-114.84375
577,43.15625,-114.78125
578,43.15625,-114.71875
579,43.15625,-114.65625
580,43.15625,-114.59375
581,43.15625,-114.53125
582,43.15625,-114.46875
583,43.15625,-112.09375
584,43.15625,-112.03125
585,43.15625,-111.96875
586,43.15625,-111.90625
587,43.15625,-111.84375
588,43.15625,-111.78125
589,43.15625,-111.71875
590,43.15625,-111.65625
591,43.15625,-111.59375
592,43.15625,-111.53125
593,43.15625,-111.46875
594,43.15625,-111.40625
595,43.15625,-111.34375
596,43.15625,-111.28125
597,43.15625,-111.21875
598,43.15625,-111.15625
599,43.15625,-111.09375
600,43.15625,-111.03125
601,43.15625,-110.96875
602,43.15625,-110.90625
603,43.15625,-110.84375
604,43.15625,-110.78125
605,43.15625,-110.71875
606,43.15625,-110.65625
607,43.15625,-110.59375
608,43.15625,-110.53125
609,43.15625,-110.46875
610,43.15625,-110.40625
611,43.15625,-110.34375
612,43.15625,-110.28125
613,43.15625,-110.21875
614,43.15625,-110.15625
615,43.15625,-110.09375
616,43.15625,-110.03125
617,43.15625,-109.96875
618,43.15625,-109.90625
619,43.15625,-109.84375
620,43.15625,-109.78125
621,43.15625,-109.71875
622,43.15625,-109.65625
623,43.15625,-109.59375
624,43.15625,-109.53125
625,43.15625,-109.46875
626,43.15625,-109.40625
627,43.15625,-109.34375
628,43.15625,-109.28125
629,43.15625,-109.21875
630,43.21875,-115.53125
631,43.21875,-115.46875
632,43.21875,-115.40625
633,43.21875,-115.34375
634,43.21875,-115.28125
635,43.21875,-115.21875
636,43.21875,-115.15625
637,43.21875,-115.09375
638,43.21875,-115.03125
639,43.21875,-114.96875
640,43.21875,-114.90625
641,43.21875,-114.84375
642,43.21875,-114.78125
643,43.21875,-114.71875
644,43.21875,-114.65625
645,43.21875,-114.59375
646,43.21875,-114.53125
647,43.21875,-114.46875
648,43.21875,-114.40625
649,43.21875,-114.28125
650,43.21875,-111.96875
651,43.21875,-111.90625
652,43.21875,-111.84375
653,43.21875,-111.78125
654,43.21875,-111.71875
655,43.21875,-111.65625
656,43.21875,-111.59375
657,43.21875,-111.53125
658,43.21875,-111.46875
659,43.21875,-111.40625
660,43.21875,-111.34375
661,43.21875,-111.28125
662,43.21875,-111.21875
663,43.21875,-111.15625
664,43.21875,-111.09375
665,43.21875,-111.03125
666,43.21875,-110.96875
667,43.21875,-110.90625
668,43.21875,-110.84375
669,43.21875,-110.78125
670,43.21875,-110.71875
671,43.21875,-110.65625
672,43.21875,-110.59375
673,43.21875,-110.53125
674,43.21875,-110.46875
675,43.21875,-110.40625
676,43.21875,-110.34375
677,43.21875,-110.28125
678,43.21875,-110.21875
679,43.21875,-110.15625
680,43.21875,-110.09375
681,43.21875,-110.03125
682,43.21875,-109.96875
683,43.21875,-109.90625
684,43.21875,-109.84375
685,43.21875,-109.78125
686,43.21875,-109.71875
687,43.21875,-109.65625
688,43.21875,-109.59375
689,43.21875,-109.53125
690,43.21875,-109.46875
691,43.21875,-109.40625
692,43.21875,-109.34375
693,43.21875,-109.28125
694,43.28125,-115.59375
695,43.28125,-115.53125
696,43.28125,-115.46875
697,43.28125,-115.40625
698,43.28125,-115.34375
699,43.28125,-115.28125
700,43.28125,-115.21875
701,43.28125,-115.15625
702,43.28125,-115.09375
703,43.28125,-115.03125
704,43.28125,-114.96875
705,43.28125,-114.90625
706,43.28125,-114.84375
707,43.28125,-114.78125
708,43.28125,-114.71875
709,43.28125,-114.65625
710,43.28125,-114.59375
711,43.28125,-114.53125
712,43.28125,-114.46875
713,43.28125,-114.40625
714,43.28125,-114.34375
715,43.28125,-114.28125
716,43.28125,-114.21875
717,43.28125,-114.15625
718,43.28125,-114.09375
719,43.28125,-111.96875
720,43.28125,-111.90625
721,43.28125,-111.84375
722,43.28125,-111.78125
723,43.28125,-111.71875
724,43.28125,-111.65625
725,43.28125,-111.59375
726,43.28125,-111.53125
727,43.28125,-111.46875
728,43.28125,-111.40625
729,43.28125,-111.34375
730,43.28125,-111.28125
731,43.28125,-111.21875
732,43.28125,-111.15625
733,43.28125,-111.09375
734,43.28125,-111.03125
735,43.28125,-110.96875
736,43.28125,-110.90625
737,43.28125,-110.84375
738,43.28125,-110.78125
739,43.28125,-110.71875
740,43.28125,-110.65625
741,43.28125,-110.59375
742,43.28125,-110.53125
743,43.28125,-110.46875
744,43.28125,-110.40625
745,43.28125,-110.34375
746,43.28125,-110.28125
747,43.28125,-110.21875
748,43.28125,-110.15625
749,43.28125,-110.09375
750,43.28125,-110.03125
751,43.28125,-109.96875
752,43.28125,-109.90625
753,43.28125,-109.84375
754,43.28125,-109.78125
755,43.28125,-109.71875
756,43.28125,-109.65625
757,43.28125,-109.59375
758,43.28125,-109.53125
759,43.28125,-109.46875
760,43.28125,-109.40625
761,43.34375,-115.71875
762,43.34375,-115.65625
763,43.34375,-115.59375
764,43.34375,-115.53125
765,43.34375,-115.46875
766,43.34375,-115.40625
767,43.34375,-115.34375
768,43.34375,-115.28125
769,43.34375,-115.21875
770,43.34375,-115.15625
771,43.34375,-115.09375
772,43.34375,-115.03125
773,43.34375,-114.96875
774,43.34375,-114.90625
775,43.34375,-114.84375
776,43.34375,-114.78125
777,43.34375,-114.59375
778,43.34375,-114.53125
779,43.34375,-114.46875
780,43.34375,-114.40625
781,43.34375,-114.34375
782,43.34375,-114.09375
783,43.34375,-114.03125
784,43.34375,-113.96875
785,43.34375,-113.71875
786,43.34375,-113.65625
787,43.34375,-113.59375
788,43.34375,-113.53125
789,43.34375,-111.96875
790,43.34375,-111.90625
791,43.34375,-111.84375
792,43.34375,-111.65625
793,43.34375,-111.59375
794,43.34375,-111.53125
795,43.34375,-111.46875
796,43.34375,-111.40625
797,43.34375,-111.34375
798,43.34375,-111.28125
799,43.34375,-111.21875
800,43.34375,-111.15625
801,43.34375,-111.09375
802,43.34375,-111.03125
803,43.34375,-110.96875
804,43.34375,-110.90625
805,43.34375,-110.84375
806,43.34375,-110.78125
807,43.34375,-110.71875
808,43.34375,-110.65625
809,43.34375,-110.59375
810,43.34375,-110.53125
811,43.34375,-110.46875
812,43.34375,-110.40625
813,43.34375,-110.34375
814,43.34375,-110.28125
815,43.34375,-110.21875
816,43.34375,-110.15625
817,43.34375,-110.09375
818,43.34375,-110.03125
819,43.34375,-109.96875
820,43.34375,-109.90625
821,43.34375,-109.84375
822,43.34375,-109.78125
823,43.34375,-109.71875
824,43.34375,-109.65625
825,43.34375,-109.59375
826,43.34375,-109.53125
827,43.40625,-115.78125
828,43.40625,-115.71875
829,43.40625,-115.65625
830,43.40625,-115.59375
831,43.40625,-115.53125
832,43.40625,-115.46875
833,43.40625,-115.40625
834,43.40625,-115.34375
835,43.40625,-115.28125
836,43.40625,-115.21875
837,43.40625,-115.15625
838,43.40625,-115.09375
839,43.40625,-115.03125
840,43.40625,-114.96875
841,43.40625,-114.90625
842,43.40625,-114.84375
843,43.40625,-114.78125
844,43.40625,-114.71875
845,43.40625,-114.65625
846,43.40625,-114.59375
847,43.40625,-114.53125
848,43.40625,-114.46875
849,43.40625,-114.40625
850,43.40625,-114.34375
851,43.40625,-114.28125
852,43.40625,-114.21875
853,43.40625,-114.15625
854,43.40625,-114.09375
855,43.40625,-114.03125
856,43.40625,-113.96875
857,43.40625,-113.90625
858,43.40625,-113.84375
859,43.40625,-113.78125
860,43.40625,-113.71875
861,43.40625,-113.65625
862,43.40625,-113.59375
863,43.40625,-113.53125
864,43.40625,-111.84375
865,43.40625,-111.71875
866,43.40625,-111.65625
867,43.40625,-111.59375
868,43.40625,-111.53125
869,43.40625,-111.46875
870,43.40625,-111.40625
871,43.40625,-111.34375
872,43.40625,-111.21875
873,43.40625,-111.15625
874,43.40625,-111.09375
875,43.40625,-111.03125
876,43.40625,-110.96875
877,43.40625,-110.90625
878,43.40625,-110.84375
879,43.40625,-110.78125
880,43.40625,-110.71875
881,43.40625,-110.65625
882,43.40625,-110.59375
883,43.40625,-110.53125
884,43.40625,-110.46875
885,43.40625,-110.40625
886,43.40625,-110.34375
887,43.40625,-110.28125
888,43.40625,-110.21875
889,43.40625,-110.15625
890,43.40625,-110.09375
891,43.40625,-110.03125
892,43.40625,-109.96875
893,43.40625,-109.90625
894,43.40625,-109.84375
895,43.40625,-109.78125
896,43.40625,-109.71875
897,43.40625,-109.65625
898,43.40625,-109.59375
899,43.40625,-109.53125
900,43.46875,-115.84375
901,43.46875,-115.78125
902,43.46875,-115.71875
903,43.46875,-115.65625
904,43.46875,-115.59375
905,43.46875,-115.53125
906,43.46875,-115.46875
907,43.46875,-115.40625
908,43.46875,-115.34375
909,43.46875,-115.28125
910,43.46875,-115.21875
911,43.46875,-115.15625
912,43.46875,-115.09375
913,43.46875,-115.03125
914,43.46875,-114.96875
915,43.46875,-114.90625
916,43.46875,-114.84375
917,43.46875,-114.78125
918,43.46875,-114.71875
919,43.46875,-114.65625
920,43.46875,-114.59375
921,43.46875,-114.53125
922,43.46875,-114.46875
923,43.46875,-114.40625
924,43.46875,-114.34375
925,43.46875,-114.28125
926,43.46875,-114.21875
927,43.46875,-114.15625
928,43.46875,-114.09375
929,43.46875,-114.03125
930,43.46875,-113.96875
931,43.46875,-113.90625
932,43.46875,-113.84375
933,43.46875,-113.78125
934,43.46875,-113.71875
935,43.46875,-113.65625
936,43.46875,-113.59375
937,43.46875,-113.53125
938,43.46875,-111.84375
939,43.46875,-111.65625
940,43.46875,-111.59375
941,43.46875,-111.53125
942,43.46875,-111.46875
943,43.46875,-111.28125
944,43.46875,-111.21875
945,43.46875,-111.15625
946,43.46875,-111.09375
947,43.46875,-111.03125
948,43.46875,-110.96875
949,43.46875,-110.90625
950,43.46875,-110.84375
951,43.46875,-110.78125
