,lat_lowercolorado,lon_lowercolorado
619,32.03125,-109.21875
620,32.03125,-109.15625
621,32.03125,-109.09375
622,32.03125,-109.03125
623,32.03125,-108.96875
624,32.03125,-108.90625
625,32.03125,-108.84375
626,32.03125,-108.78125
627,32.03125,-108.71875
628,32.03125,-108.46875
629,32.03125,-108.40625
630,32.03125,-108.34375
631,32.03125,-108.28125
632,32.03125,-108.21875
633,32.09375,-113.34375
634,32.09375,-113.28125
635,32.09375,-113.21875
636,32.09375,-113.15625
637,32.09375,-113.09375
638,32.09375,-113.03125
639,32.09375,-112.96875
640,32.09375,-112.90625
641,32.09375,-112.84375
642,32.09375,-112.78125
643,32.09375,-112.71875
644,32.09375,-112.65625
645,32.09375,-112.59375
646,32.09375,-112.53125
647,32.09375,-112.46875
648,32.09375,-112.40625
649,32.09375,-112.34375
650,32.09375,-112.28125
651,32.09375,-112.21875
652,32.09375,-112.15625
653,32.09375,-112.09375
654,32.09375,-112.03125
655,32.09375,-111.96875
656,32.09375,-111.90625
657,32.09375,-111.84375
658,32.09375,-111.78125
659,32.09375,-111.71875
660,32.09375,-111.65625
661,32.09375,-111.59375
662,32.09375,-111.53125
663,32.09375,-111.46875
664,32.09375,-111.40625
665,32.09375,-111.34375
666,32.09375,-111.28125
667,32.09375,-111.21875
668,32.09375,-111.15625
669,32.09375,-111.09375
670,32.09375,-111.03125
671,32.09375,-110.96875
672,32.09375,-110.90625
673,32.09375,-110.84375
674,32.09375,-110.78125
675,32.09375,-110.71875
676,32.09375,-110.65625
677,32.09375,-110.59375
678,32.09375,-110.53125
679,32.09375,-110.46875
680,32.09375,-110.40625
681,32.09375,-110.34375
682,32.09375,-110.28125
683,32.09375,-110.21875
684,32.09375,-110.15625
685,32.09375,-110.09375
686,32.09375,-110.03125
687,32.09375,-109.96875
688,32.09375,-109.90625
689,32.09375,-109.84375
690,32.09375,-109.78125
691,32.09375,-109.71875
692,32.09375,-109.65625
693,32.09375,-109.59375
694,32.09375,-109.53125
695,32.09375,-109.46875
696,32.09375,-109.40625
697,32.09375,-109.34375
698,32.09375,-109.28125
699,32.09375,-109.21875
700,32.09375,-109.15625
701,32.09375,-109.09375
702,32.09375,-109.03125
703,32.09375,-108.96875
704,32.09375,-108.90625
705,32.09375,-108.84375
706,32.09375,-108.78125
707,32.09375,-108.71875
708,32.09375,-108.65625
709,32.09375,-108.59375
710,32.09375,-108.53125
711,32.09375,-108.46875
712,32.09375,-108.40625
713,32.09375,-108.34375
714,32.09375,-108.28125
715,32.09375,-108.21875
716,32.15625,-113.84375
717,32.15625,-113.78125
718,32.15625,-113.71875
719,32.15625,-113.65625
720,32.15625,-113.59375
721,32.15625,-113.53125
722,32.15625,-113.46875
723,32.15625,-113.40625
724,32.15625,-113.34375
725,32.15625,-113.28125
726,32.15625,-113.21875
727,32.15625,-113.15625
728,32.15625,-113.09375
729,32.15625,-113.03125
730,32.15625,-112.96875
731,32.15625,-112.90625
732,32.15625,-112.84375
733,32.15625,-112.78125
734,32.15625,-112.71875
735,32.15625,-112.65625
736,32.15625,-112.59375
737,32.15625,-112.53125
738,32.15625,-112.46875
739,32.15625,-112.40625
740,32.15625,-112.34375
741,32.15625,-112.28125
742,32.15625,-112.21875
743,32.15625,-112.15625
744,32.15625,-112.09375
745,32.15625,-112.03125
746,32.15625,-111.96875
747,32.15625,-111.90625
748,32.15625,-111.84375
749,32.15625,-111.78125
750,32.15625,-111.71875
751,32.15625,-111.65625
752,32.15625,-111.59375
753,32.15625,-111.53125
754,32.15625,-111.46875
755,32.15625,-111.40625
756,32.15625,-111.34375
757,32.15625,-111.28125
758,32.15625,-111.21875
759,32.15625,-111.15625
760,32.15625,-111.09375
761,32.15625,-111.03125
762,32.15625,-110.96875
763,32.15625,-110.90625
764,32.15625,-110.84375
765,32.15625,-110.78125
766,32.15625,-110.71875
767,32.15625,-110.65625
768,32.15625,-110.59375
769,32.15625,-110.53125
770,32.15625,-110.46875
771,32.15625,-110.40625
772,32.15625,-110.34375
773,32.15625,-110.28125
774,32.15625,-110.21875
775,32.15625,-110.15625
776,32.15625,-110.09375
777,32.15625,-110.03125
778,32.15625,-109.96875
779,32.15625,-109.90625
780,32.15625,-109.84375
781,32.15625,-109.78125
782,32.15625,-109.71875
783,32.15625,-109.65625
784,32.15625,-109.59375
785,32.15625,-109.53125
786,32.15625,-109.46875
787,32.15625,-109.40625
788,32.15625,-109.34375
789,32.15625,-109.28125
790,32.15625,-109.21875
791,32.15625,-109.15625
792,32.15625,-109.09375
793,32.15625,-109.03125
794,32.15625,-108.96875
795,32.15625,-108.90625
796,32.15625,-108.84375
797,32.15625,-108.78125
798,32.15625,-108.71875
799,32.15625,-108.65625
800,32.15625,-108.59375
801,32.15625,-108.53125
802,32.15625,-108.46875
803,32.15625,-108.40625
804,32.15625,-108.34375
805,32.15625,-108.28125
806,32.15625,-108.21875
807,32.21875,-113.84375
808,32.21875,-113.78125
809,32.21875,-113.71875
810,32.21875,-113.65625
811,32.21875,-113.59375
812,32.21875,-113.53125
813,32.21875,-113.46875
814,32.21875,-113.40625
815,32.21875,-113.34375
816,32.21875,-113.28125
817,32.21875,-113.21875
818,32.21875,-113.15625
819,32.21875,-113.09375
820,32.21875,-113.03125
821,32.21875,-112.96875
822,32.21875,-112.90625
823,32.21875,-112.84375
824,32.21875,-112.78125
825,32.21875,-112.71875
826,32.21875,-112.65625
827,32.21875,-112.59375
828,32.21875,-112.53125
829,32.21875,-112.46875
830,32.21875,-112.40625
831,32.21875,-112.34375
832,32.21875,-112.28125
833,32.21875,-112.21875
834,32.21875,-112.15625
835,32.21875,-112.09375
836,32.21875,-112.03125
837,32.21875,-111.96875
838,32.21875,-111.90625
839,32.21875,-111.84375
840,32.21875,-111.78125
841,32.21875,-111.71875
842,32.21875,-111.65625
843,32.21875,-111.59375
844,32.21875,-111.53125
845,32.21875,-111.46875
846,32.21875,-111.40625
847,32.21875,-111.34375
848,32.21875,-111.28125
849,32.21875,-111.21875
850,32.21875,-111.15625
851,32.21875,-111.09375
852,32.21875,-111.03125
853,32.21875,-110.96875
854,32.21875,-110.90625
855,32.21875,-110.84375
856,32.21875,-110.78125
857,32.21875,-110.71875
858,32.21875,-110.65625
859,32.21875,-110.59375
860,32.21875,-110.53125
861,32.21875,-110.46875
862,32.21875,-110.40625
863,32.21875,-110.34375
864,32.21875,-110.28125
865,32.21875,-110.21875
866,32.21875,-110.15625
867,32.21875,-110.09375
868,32.21875,-110.03125
869,32.21875,-109.96875
870,32.21875,-109.90625
871,32.21875,-109.84375
872,32.21875,-109.78125
873,32.21875,-109.71875
874,32.21875,-109.65625
875,32.21875,-109.59375
876,32.21875,-109.53125
877,32.21875,-109.46875
878,32.21875,-109.40625
879,32.21875,-109.34375
880,32.21875,-109.28125
881,32.21875,-109.21875
882,32.21875,-109.15625
883,32.21875,-109.09375
884,32.21875,-109.03125
885,32.21875,-108.96875
886,32.21875,-108.90625
887,32.21875,-108.84375
888,32.21875,-108.78125
889,32.21875,-108.71875
890,32.21875,-108.65625
891,32.21875,-108.59375
892,32.21875,-108.53125
893,32.21875,-108.46875
894,32.21875,-108.40625
895,32.21875,-108.34375
896,32.21875,-108.28125
897,32.21875,-108.21875
898,32.28125,-114.21875
899,32.28125,-114.15625
900,32.28125,-114.09375
901,32.28125,-114.03125
902,32.28125,-113.96875
903,32.28125,-113.90625
904,32.28125,-113.84375
905,32.28125,-113.78125
906,32.28125,-113.71875
907,32.28125,-113.65625
908,32.28125,-113.59375
909,32.28125,-113.53125
910,32.28125,-113.46875
911,32.28125,-113.40625
912,32.28125,-113.34375
913,32.28125,-113.28125
914,32.28125,-113.21875
915,32.28125,-113.15625
916,32.28125,-113.09375
917,32.28125,-113.03125
918,32.28125,-112.96875
919,32.28125,-112.90625
920,32.28125,-112.84375
921,32.28125,-112.78125
922,32.28125,-112.71875
923,32.28125,-112.65625
924,32.28125,-112.59375
925,32.28125,-112.53125
926,32.28125,-112.46875
927,32.28125,-112.40625
928,32.28125,-112.34375
929,32.28125,-112.28125
930,32.28125,-112.21875
931,32.28125,-112.15625
932,32.28125,-112.09375
933,32.28125,-112.03125
934,32.28125,-111.96875
935,32.28125,-111.90625
936,32.28125,-111.84375
937,32.28125,-111.78125
938,32.28125,-111.71875
939,32.28125,-111.65625
940,32.28125,-111.59375
941,32.28125,-111.53125
942,32.28125,-111.46875
943,32.28125,-111.40625
944,32.28125,-111.34375
945,32.28125,-111.28125
946,32.28125,-111.21875
947,32.28125,-111.15625
948,32.28125,-111.09375
949,32.28125,-111.03125
950,32.28125,-110.96875
951,32.28125,-110.90625
952,32.28125,-110.84375
