,lat_southernrockies,lon_southernrockies
1783,39.03125,-106.21875
1784,39.03125,-106.15625
1785,39.03125,-106.09375
1786,39.03125,-106.03125
1787,39.03125,-105.28125
1788,39.03125,-105.03125
1789,39.03125,-104.96875
1790,39.09375,-112.15625
1791,39.09375,-112.09375
1792,39.09375,-111.96875
1793,39.09375,-111.65625
1794,39.09375,-111.59375
1795,39.09375,-111.53125
1796,39.09375,-111.46875
1797,39.09375,-111.40625
1798,39.09375,-111.34375
1799,39.09375,-111.28125
1800,39.09375,-111.21875
1801,39.09375,-109.84375
1802,39.09375,-109.78125
1803,39.09375,-109.71875
1804,39.09375,-109.65625
1805,39.09375,-108.84375
1806,39.09375,-108.78125
1807,39.09375,-108.28125
1808,39.09375,-108.21875
1809,39.09375,-108.15625
1810,39.09375,-108.09375
1811,39.09375,-108.03125
1812,39.09375,-107.96875
1813,39.09375,-107.90625
1814,39.09375,-107.84375
1815,39.09375,-107.78125
1816,39.09375,-107.71875
1817,39.09375,-107.65625
1818,39.09375,-107.59375
1819,39.09375,-107.53125
1820,39.09375,-107.46875
1821,39.09375,-107.40625
1822,39.09375,-107.34375
1823,39.09375,-107.28125
1824,39.09375,-107.21875
1825,39.09375,-107.15625
1826,39.09375,-107.09375
1827,39.09375,-107.03125
1828,39.09375,-106.96875
1829,39.09375,-106.90625
1830,39.09375,-106.84375
1831,39.09375,-106.78125
1832,39.09375,-106.71875
1833,39.09375,-106.65625
1834,39.09375,-106.59375
1835,39.09375,-106.53125
1836,39.09375,-106.46875
1837,39.09375,-106.40625
1838,39.09375,-106.34375
1839,39.09375,-106.28125
1840,39.09375,-106.21875
1841,39.09375,-106.15625
1842,39.09375,-105.59375
1843,39.09375,-105.53125
1844,39.09375,-105.28125
1845,39.09375,-105.03125
1846,39.09375,-104.96875
1847,39.15625,-112.15625
1848,39.15625,-112.09375
1849,39.15625,-112.03125
1850,39.15625,-111.96875
1851,39.15625,-111.65625
1852,39.15625,-111.59375
1853,39.15625,-111.53125
1854,39.15625,-111.46875
1855,39.15625,-111.40625
1856,39.15625,-111.34375
1857,39.15625,-111.28125
1858,39.15625,-111.21875
1859,39.15625,-111.15625
1860,39.15625,-109.84375
1861,39.15625,-109.78125
1862,39.15625,-109.71875
1863,39.15625,-109.65625
1864,39.15625,-109.59375
1865,39.15625,-109.53125
1866,39.15625,-108.28125
1867,39.15625,-108.21875
1868,39.15625,-108.15625
1869,39.15625,-108.09375
1870,39.15625,-108.03125
1871,39.15625,-107.96875
1872,39.15625,-107.90625
1873,39.15625,-107.84375
1874,39.15625,-107.78125
1875,39.15625,-107.71875
1876,39.15625,-107.65625
1877,39.15625,-107.59375
1878,39.15625,-107.53125
1879,39.15625,-107.46875
1880,39.15625,-107.40625
1881,39.15625,-107.34375
1882,39.15625,-107.28125
1883,39.15625,-107.21875
1884,39.15625,-107.15625
1885,39.15625,-107.09375
1886,39.15625,-107.03125
1887,39.15625,-106.96875
1888,39.15625,-106.90625
1889,39.15625,-106.84375
1890,39.15625,-106.78125
1891,39.15625,-106.71875
1892,39.15625,-106.65625
1893,39.15625,-106.59375
1894,39.15625,-106.53125
1895,39.15625,-106.46875
1896,39.15625,-106.40625
1897,39.15625,-106.34375
1898,39.15625,-106.28125
1899,39.15625,-106.21875
1900,39.15625,-106.15625
1901,39.15625,-106.09375
1902,39.15625,-105.59375
1903,39.15625,-105.53125
1904,39.15625,-105.40625
1905,39.15625,-105.03125
1906,39.15625,-104.96875
1907,39.21875,-112.03125
1908,39.21875,-111.59375
1909,39.21875,-111.53125
1910,39.21875,-111.46875
1911,39.21875,-111.40625
1912,39.21875,-111.34375
1913,39.21875,-111.28125
1914,39.21875,-111.21875
1915,39.21875,-111.15625
1916,39.21875,-110.71875
1917,39.21875,-110.65625
1918,39.21875,-110.59375
1919,39.21875,-109.84375
1920,39.21875,-109.78125
1921,39.21875,-109.71875
1922,39.21875,-109.65625
1923,39.21875,-109.59375
1924,39.21875,-109.53125
1925,39.21875,-109.46875
1926,39.21875,-109.40625
1927,39.21875,-108.46875
1928,39.21875,-108.40625
1929,39.21875,-108.34375
1930,39.21875,-108.09375
1931,39.21875,-108.03125
1932,39.21875,-107.96875
1933,39.21875,-107.90625
1934,39.21875,-107.84375
1935,39.21875,-107.78125
1936,39.21875,-107.71875
1937,39.21875,-107.65625
1938,39.21875,-107.59375
1939,39.21875,-107.53125
1940,39.21875,-107.46875
1941,39.21875,-107.40625
1942,39.21875,-107.34375
1943,39.21875,-107.28125
1944,39.21875,-107.21875
1945,39.21875,-107.15625
1946,39.21875,-107.09375
1947,39.21875,-107.03125
1948,39.21875,-106.96875
1949,39.21875,-106.90625
1950,39.21875,-106.84375
1951,39.21875,-106.78125
1952,39.21875,-106.71875
1953,39.21875,-106.65625
1954,39.21875,-106.59375
1955,39.21875,-106.53125
1956,39.21875,-106.46875
1957,39.21875,-106.40625
1958,39.21875,-106.34375
1959,39.21875,-106.28125
1960,39.21875,-106.21875
1961,39.21875,-106.15625
1962,39.21875,-106.09375
1963,39.21875,-106.03125
1964,39.21875,-105.59375
1965,39.21875,-105.53125
1966,39.21875,-105.46875
1967,39.21875,-105.40625
1968,39.21875,-105.09375
1969,39.21875,-105.03125
1970,39.28125,-112.28125
1971,39.28125,-112.21875
1972,39.28125,-112.03125
1973,39.28125,-111.96875
1974,39.28125,-111.59375
1975,39.28125,-111.53125
1976,39.28125,-111.46875
1977,39.28125,-111.40625
1978,39.28125,-111.34375
1979,39.28125,-111.28125
1980,39.28125,-111.21875
1981,39.28125,-111.15625
1982,39.28125,-110.71875
1983,39.28125,-110.65625
1984,39.28125,-109.90625
1985,39.28125,-109.84375
1986,39.28125,-109.78125
1987,39.28125,-109.71875
1988,39.28125,-109.65625
1989,39.28125,-109.59375
1990,39.28125,-109.53125
1991,39.28125,-109.46875
1992,39.28125,-109.40625
1993,39.28125,-108.53125
1994,39.28125,-108.46875
1995,39.28125,-108.40625
1996,39.28125,-108.15625
1997,39.28125,-108.09375
1998,39.28125,-108.03125
1999,39.28125,-107.96875
2000,39.28125,-107.90625
2001,39.28125,-107.84375
2002,39.28125,-107.78125
2003,39.28125,-107.71875
2004,39.28125,-107.65625
2005,39.28125,-107.59375
2006,39.28125,-107.53125
2007,39.28125,-107.46875
2008,39.28125,-107.40625
2009,39.28125,-107.34375
2010,39.28125,-107.28125
2011,39.28125,-107.21875
2012,39.28125,-107.15625
2013,39.28125,-107.09375
2014,39.28125,-107.03125
2015,39.28125,-106.96875
2016,39.28125,-106.90625
2017,39.28125,-106.84375
2018,39.28125,-106.78125
2019,39.28125,-106.71875
2020,39.28125,-106.65625
2021,39.28125,-106.59375
2022,39.28125,-106.53125
2023,39.28125,-106.46875
2024,39.28125,-106.40625
2025,39.28125,-106.34375
2026,39.28125,-106.28125
2027,39.28125,-106.21875
2028,39.28125,-106.15625
2029,39.28125,-106.09375
2030,39.28125,-106.03125
2031,39.28125,-105.96875
2032,39.28125,-105.59375
2033,39.28125,-105.53125
2034,39.28125,-105.46875
2035,39.28125,-105.40625
2036,39.28125,-105.34375
2037,39.28125,-105.15625
2038,39.28125,-105.09375
2039,39.28125,-105.03125
2040,39.34375,-112.21875
2041,39.34375,-111.84375
2042,39.34375,-111.78125
2043,39.34375,-111.71875
2044,39.34375,-111.53125
2045,39.34375,-111.46875
2046,39.34375,-111.40625
2047,39.34375,-111.34375
2048,39.34375,-111.28125
2049,39.34375,-111.21875
2050,39.34375,-111.15625
2051,39.34375,-111.09375
2052,39.34375,-111.03125
2053,39.34375,-110.28125
2054,39.34375,-109.96875
2055,39.34375,-109.90625
2056,39.34375,-109.84375
2057,39.34375,-109.78125
2058,39.34375,-109.71875
2059,39.34375,-109.65625
2060,39.34375,-109.59375
2061,39.34375,-109.53125
2062,39.34375,-109.46875
2063,39.34375,-109.40625
2064,39.34375,-109.34375
2065,39.34375,-109.28125
2066,39.34375,-109.21875
2067,39.34375,-108.65625
2068,39.34375,-108.59375
2069,39.34375,-108.53125
2070,39.34375,-108.46875
2071,39.34375,-108.40625
2072,39.34375,-108.34375
2073,39.34375,-108.09375
2074,39.34375,-108.03125
2075,39.34375,-107.96875
2076,39.34375,-107.90625
2077,39.34375,-107.84375
2078,39.34375,-107.78125
2079,39.34375,-107.71875
2080,39.34375,-107.65625
2081,39.34375,-107.59375
2082,39.34375,-107.53125
2083,39.34375,-107.46875
2084,39.34375,-107.40625
2085,39.34375,-107.34375
2086,39.34375,-107.28125
2087,39.34375,-107.21875
2088,39.34375,-107.15625
2089,39.34375,-107.09375
2090,39.34375,-107.03125
2091,39.34375,-106.96875
2092,39.34375,-106.90625
2093,39.34375,-106.84375
2094,39.34375,-106.78125
2095,39.34375,-106.71875
2096,39.34375,-106.65625
2097,39.34375,-106.59375
2098,39.34375,-106.53125
2099,39.34375,-106.46875
2100,39.34375,-106.40625
2101,39.34375,-106.34375
2102,39.34375,-106.28125
2103,39.34375,-106.21875
2104,39.34375,-106.15625
2105,39.34375,-106.09375
2106,39.34375,-106.03125
2107,39.34375,-105.96875
2108,39.34375,-105.90625
2109,39.34375,-105.71875
2110,39.34375,-105.65625
2111,39.34375,-105.59375
2112,39.34375,-105.53125
2113,39.34375,-105.46875
2114,39.34375,-105.09375
2115,39.40625,-112.21875
2116,39.40625,-111.84375
2117,39.40625,-111.78125
2118,39.40625,-111.71875
2119,39.40625,-111.46875
2120,39.40625,-111.40625
2121,39.40625,-111.34375
2122,39.40625,-111.28125
2123,39.40625,-111.21875
2124,39.40625,-111.15625
2125,39.40625,-111.09375
2126,39.40625,-111.03125
2127,39.40625,-110.28125
2128,39.40625,-110.21875
2129,39.40625,-109.90625
2130,39.40625,-109.84375
2131,39.40625,-109.78125
2132,39.40625,-109.71875
2133,39.40625,-109.65625
2134,39.40625,-109.59375
2135,39.40625,-109.53125
2136,39.40625,-109.46875
2137,39.40625,-109.40625
2138,39.40625,-109.34375
2139,39.40625,-109.28125
2140,39.40625,-109.21875
2141,39.40625,-109.15625
2142,39.40625,-109.09375
2143,39.40625,-108.71875
2144,39.40625,-108.65625
2145,39.40625,-108.59375
2146,39.40625,-108.53125
2147,39.40625,-108.46875
2148,39.40625,-108.40625
2149,39.40625,-108.34375
2150,39.40625,-108.21875
2151,39.40625,-108.15625
2152,39.40625,-108.03125
2153,39.40625,-107.96875
2154,39.40625,-107.90625
2155,39.40625,-107.84375
2156,39.40625,-107.78125
2157,39.40625,-107.71875
2158,39.40625,-107.65625
2159,39.40625,-107.59375
2160,39.40625,-107.53125
2161,39.40625,-107.46875
2162,39.40625,-107.40625
2163,39.40625,-107.34375
2164,39.40625,-107.28125
2165,39.40625,-107.21875
2166,39.40625,-107.15625
2167,39.40625,-107.09375
2168,39.40625,-107.03125
2169,39.40625,-106.96875
2170,39.40625,-106.90625
2171,39.40625,-106.84375
2172,39.40625,-106.78125
2173,39.40625,-106.71875
2174,39.40625,-106.65625
2175,39.40625,-106.59375
2176,39.40625,-106.53125
2177,39.40625,-106.46875
2178,39.40625,-106.40625
2179,39.40625,-106.34375
2180,39.40625,-106.28125
2181,39.40625,-106.21875
2182,39.40625,-106.15625
2183,39.40625,-106.09375
2184,39.40625,-106.03125
2185,39.40625,-105.96875
2186,39.40625,-105.90625
2187,39.40625,-105.84375
2188,39.40625,-105.78125
2189,39.40625,-105.71875
2190,39.40625,-105.65625
2191,39.40625,-105.59375
2192,39.40625,-105.53125
2193,39.46875,-112.21875
2194,39.46875,-111.84375
2195,39.46875,-111.78125
2196,39.46875,-111.71875
2197,39.46875,-111.65625
2198,39.46875,-111.46875
2199,39.46875,-111.40625
2200,39.46875,-111.34375
2201,39.46875,-111.28125
2202,39.46875,-111.21875
2203,39.46875,-111.15625
2204,39.46875,-111.09375
2205,39.46875,-111.03125
2206,39.46875,-110.96875
2207,39.46875,-110.34375
2208,39.46875,-110.28125
2209,39.46875,-110.21875
2210,39.46875,-110.15625
2211,39.46875,-109.96875
2212,39.46875,-109.90625
2213,39.46875,-109.84375
2214,39.46875,-109.78125
2215,39.46875,-109.71875
2216,39.46875,-109.65625
2217,39.46875,-109.59375
2218,39.46875,-109.53125
2219,39.46875,-109.46875
2220,39.46875,-109.40625
2221,39.46875,-109.34375
2222,39.46875,-109.28125
2223,39.46875,-109.21875
2224,39.46875,-109.15625
2225,39.46875,-109.09375
2226,39.46875,-109.03125
2227,39.46875,-108.96875
2228,39.46875,-108.90625
2229,39.46875,-108.84375
2230,39.46875,-108.78125
2231,39.46875,-108.71875
2232,39.46875,-108.65625
2233,39.46875,-108.59375
2234,39.46875,-108.53125
2235,39.46875,-108.46875
2236,39.46875,-108.40625
2237,39.46875,-108.34375
2238,39.46875,-108.28125
2239,39.46875,-108.21875
2240,39.46875,-108.15625
2241,39.46875,-108.09375
2242,39.46875,-107.96875
2243,39.46875,-107.90625
2244,39.46875,-107.84375
2245,39.46875,-107.78125
2246,39.46875,-107.71875
2247,39.46875,-107.65625
2248,39.46875,-107.59375
2249,39.46875,-107.53125
2250,39.46875,-107.46875
2251,39.46875,-107.40625
2252,39.46875,-107.34375
2253,39.46875,-107.28125
2254,39.46875,-107.21875
2255,39.46875,-107.15625
2256,39.46875,-107.09375
2257,39.46875,-107.03125
2258,39.46875,-106.96875
2259,39.46875,-106.90625
2260,39.46875,-106.84375
2261,39.46875,-106.78125
2262,39.46875,-106.71875
2263,39.46875,-106.65625
2264,39.46875,-106.59375
2265,39.46875,-106.53125
2266,39.46875,-106.46875
2267,39.46875,-106.40625
2268,39.46875,-106.34375
2269,39.46875,-106.28125
2270,39.46875,-106.21875
2271,39.46875,-106.15625
2272,39.46875,-106.09375
2273,39.46875,-106.03125
2274,39.46875,-105.96875
2275,39.46875,-105.90625
2276,39.46875,-105.84375
2277,39.46875,-105.78125
2278,39.46875,-105.71875
2279,39.46875,-105.65625
2280,39.46875,-105.59375
2281,39.46875,-105.53125
2282,39.46875,-105.28125
2283,39.46875,-105.21875
2284,39.46875,-105.15625
2285,39.53125,-111.78125
2286,39.53125,-111.71875
2287,39.53125,-111.65625
2288,39.53125,-111.40625
2289,39.53125,-111.34375
2290,39.53125,-111.28125
2291,39.53125,-111.21875
2292,39.53125,-111.15625
2293,39.53125,-111.09375
2294,39.53125,-111.03125
2295,39.53125,-110.96875
2296,39.53125,-110.34375
2297,39.53125,-110.28125
2298,39.53125,-110.21875
2299,39.53125,-110.15625
2300,39.53125,-109.90625
2301,39.53125,-109.84375
2302,39.53125,-109.78125
2303,39.53125,-109.71875
2304,39.53125,-109.65625
2305,39.53125,-109.59375
2306,39.53125,-109.53125
2307,39.53125,-109.46875
2308,39.53125,-109.40625
2309,39.53125,-109.34375
2310,39.53125,-109.28125
2311,39.53125,-109.21875
2312,39.53125,-109.15625
2313,39.53125,-109.09375
2314,39.53125,-109.03125
2315,39.53125,-108.96875
