,lat_cascades,lon_cascades
385,42.59375,-121.46875
386,42.59375,-121.40625
387,42.59375,-121.28125
388,42.59375,-121.21875
389,42.59375,-121.15625
390,42.59375,-121.03125
391,42.59375,-120.96875
392,42.59375,-120.90625
393,42.59375,-120.84375
394,42.59375,-120.78125
395,42.59375,-120.71875
396,42.59375,-120.65625
397,42.59375,-120.53125
398,42.65625,-122.59375
399,42.65625,-122.53125
400,42.65625,-122.46875
401,42.65625,-122.40625
402,42.65625,-122.34375
403,42.65625,-122.28125
404,42.65625,-122.21875
405,42.65625,-122.15625
406,42.65625,-122.09375
407,42.65625,-122.03125
408,42.65625,-121.90625
409,42.65625,-121.84375
410,42.65625,-121.78125
411,42.65625,-121.71875
412,42.65625,-121.65625
413,42.65625,-121.59375
414,42.65625,-121.53125
415,42.65625,-121.46875
416,42.65625,-121.40625
417,42.65625,-121.34375
418,42.65625,-121.28125
419,42.65625,-121.21875
420,42.65625,-121.09375
421,42.65625,-121.03125
422,42.65625,-120.96875
423,42.65625,-120.90625
424,42.65625,-120.84375
425,42.65625,-120.78125
426,42.65625,-120.71875
427,42.65625,-120.65625
428,42.71875,-122.96875
429,42.71875,-122.34375
430,42.71875,-122.28125
431,42.71875,-122.21875
432,42.71875,-122.15625
433,42.71875,-122.09375
434,42.71875,-121.96875
435,42.71875,-121.90625
436,42.71875,-121.84375
437,42.71875,-121.78125
438,42.71875,-121.71875
439,42.71875,-121.65625
440,42.71875,-121.59375
441,42.71875,-121.53125
442,42.71875,-121.46875
443,42.71875,-121.40625
444,42.71875,-121.34375
445,42.71875,-121.28125
446,42.71875,-120.96875
447,42.71875,-120.90625
448,42.71875,-120.84375
449,42.71875,-120.78125
450,42.78125,-122.96875
451,42.78125,-122.90625
452,42.78125,-122.84375
453,42.78125,-122.78125
454,42.78125,-122.59375
455,42.78125,-122.53125
456,42.78125,-122.40625
457,42.78125,-122.34375
458,42.78125,-122.28125
459,42.78125,-122.21875
460,42.78125,-122.15625
461,42.78125,-122.09375
