,lat_california,lon_california
186,36.84375,-118.59375
187,36.84375,-118.53125
188,36.84375,-118.46875
189,36.84375,-118.40625
190,36.84375,-118.34375
191,36.84375,-118.03125
192,36.90625,-119.03125
193,36.90625,-118.96875
194,36.90625,-118.90625
195,36.90625,-118.84375
196,36.90625,-118.78125
197,36.90625,-118.71875
198,36.90625,-118.65625
199,36.90625,-118.59375
200,36.90625,-118.53125
201,36.90625,-118.46875
202,36.90625,-118.40625
203,36.90625,-118.34375
204,36.90625,-118.03125
205,36.96875,-119.09375
206,36.96875,-119.03125
207,36.96875,-118.96875
208,36.96875,-118.90625
209,36.96875,-118.84375
210,36.96875,-118.78125
211,36.96875,-118.71875
212,36.96875,-118.65625
213,36.96875,-118.59375
214,36.96875,-118.53125
215,36.96875,-118.46875
216,36.96875,-118.40625
217,36.96875,-118.34375
218,36.96875,-118.09375
219,36.96875,-118.03125
220,37.03125,-119.15625
221,37.03125,-119.09375
222,37.03125,-119.03125
223,37.03125,-118.96875
224,37.03125,-118.90625
225,37.03125,-118.84375
226,37.03125,-118.78125
227,37.03125,-118.71875
228,37.03125,-118.65625
229,37.03125,-118.59375
230,37.03125,-118.53125
231,37.03125,-118.46875
232,37.03125,-118.40625
233,37.03125,-118.09375
234,37.03125,-118.03125
235,37.09375,-119.21875
236,37.09375,-119.15625
237,37.09375,-119.09375
238,37.09375,-119.03125
239,37.09375,-118.96875
240,37.09375,-118.90625
241,37.09375,-118.84375
242,37.09375,-118.78125
243,37.09375,-118.71875
244,37.09375,-118.65625
245,37.09375,-118.59375
246,37.09375,-118.53125
247,37.09375,-118.46875
248,37.09375,-118.40625
249,37.09375,-118.09375
250,37.09375,-118.03125
251,37.15625,-119.28125
252,37.15625,-119.21875
253,37.15625,-119.15625
254,37.15625,-119.09375
255,37.15625,-119.03125
256,37.15625,-118.96875
257,37.15625,-118.90625
258,37.15625,-118.84375
259,37.15625,-118.78125
260,37.15625,-118.71875
261,37.15625,-118.65625
262,37.15625,-118.59375
263,37.15625,-118.53125
