,lat_missouri,lon_missouri
235,39.40625,-103.40625
236,39.40625,-103.34375
237,39.40625,-103.28125
238,39.40625,-103.21875
239,39.40625,-103.15625
240,39.40625,-103.09375
241,39.40625,-103.03125
242,39.46875,-105.46875
243,39.46875,-105.40625
244,39.46875,-105.34375
245,39.46875,-105.09375
246,39.46875,-105.03125
247,39.46875,-104.96875
248,39.46875,-104.90625
249,39.46875,-104.84375
250,39.46875,-104.78125
251,39.46875,-104.71875
252,39.46875,-104.65625
253,39.46875,-104.59375
254,39.46875,-104.53125
255,39.46875,-104.46875
256,39.46875,-104.40625
257,39.46875,-104.34375
258,39.46875,-104.28125
259,39.46875,-104.21875
260,39.46875,-104.15625
261,39.46875,-104.09375
262,39.46875,-104.03125
263,39.46875,-103.96875
264,39.46875,-103.90625
265,39.46875,-103.84375
266,39.46875,-103.78125
267,39.46875,-103.71875
268,39.46875,-103.65625
269,39.46875,-103.59375
270,39.46875,-103.53125
271,39.46875,-103.46875
272,39.46875,-103.40625
273,39.46875,-103.34375
274,39.46875,-103.28125
275,39.46875,-103.21875
276,39.46875,-103.15625
277,39.46875,-103.09375
278,39.46875,-103.03125
279,39.53125,-105.15625
280,39.53125,-105.09375
281,39.53125,-105.03125
282,39.53125,-104.96875
283,39.53125,-104.90625
284,39.53125,-104.84375
285,39.53125,-104.78125
286,39.53125,-104.71875
287,39.53125,-104.65625
288,39.53125,-104.59375
289,39.53125,-104.53125
290,39.53125,-104.46875
291,39.53125,-104.40625
292,39.53125,-104.34375
293,39.53125,-104.28125
294,39.53125,-104.21875
295,39.53125,-104.15625
296,39.53125,-104.09375
297,39.53125,-104.03125
298,39.53125,-103.96875
299,39.53125,-103.90625
300,39.53125,-103.84375
301,39.53125,-103.78125
302,39.53125,-103.71875
303,39.53125,-103.65625
304,39.53125,-103.59375
305,39.53125,-103.53125
306,39.53125,-103.46875
307,39.53125,-103.40625
308,39.53125,-103.34375
309,39.53125,-103.28125
310,39.53125,-103.21875
311,39.53125,-103.15625
312,39.53125,-103.09375
313,39.53125,-103.03125
314,39.59375,-105.34375
315,39.59375,-105.28125
316,39.59375,-105.21875
317,39.59375,-105.15625
318,39.59375,-105.09375
319,39.59375,-105.03125
320,39.59375,-104.96875
321,39.59375,-104.90625
322,39.59375,-104.84375
323,39.59375,-104.78125
