,lat_coastalnorth,lon_coastalnorth
98,41.90625,-124.09375
99,41.90625,-124.03125
100,41.90625,-123.96875
101,41.90625,-123.84375
102,41.90625,-123.78125
103,41.90625,-122.84375
104,41.90625,-122.71875
105,41.90625,-122.59375
106,41.90625,-122.53125
107,41.90625,-122.46875
108,41.90625,-122.40625
109,41.90625,-122.34375
110,41.90625,-122.15625
111,41.90625,-122.09375
112,41.90625,-122.03125
113,41.96875,-124.09375
114,41.96875,-124.03125
115,41.96875,-123.96875
116,41.96875,-123.90625
117,41.96875,-123.71875
118,41.96875,-122.65625
119,41.96875,-122.59375
120,41.96875,-122.53125
121,41.96875,-122.46875
122,41.96875,-122.40625
123,41.96875,-122.34375
124,41.96875,-122.28125
125,41.96875,-122.21875
126,41.96875,-122.15625
127,41.96875,-122.09375
128,41.96875,-122.03125
129,42.03125,-124.21875
130,42.03125,-124.15625
131,42.03125,-124.09375
132,42.03125,-124.03125
133,42.03125,-123.96875
134,42.03125,-123.71875
135,42.03125,-123.65625
136,42.03125,-123.15625
137,42.03125,-123.09375
138,42.03125,-122.65625
139,42.03125,-122.40625
140,42.03125,-122.34375
141,42.03125,-122.28125
142,42.03125,-122.21875
143,42.03125,-122.15625
144,42.03125,-122.09375
145,42.03125,-122.03125
146,42.09375,-124.21875
147,42.09375,-124.15625
148,42.09375,-124.09375
149,42.09375,-124.03125
150,42.09375,-123.96875
151,42.09375,-123.71875
152,42.09375,-123.65625
153,42.09375,-123.59375
154,42.09375,-123.53125
155,42.09375,-123.09375
156,42.09375,-122.34375
157,42.15625,-124.34375
158,42.15625,-124.28125
159,42.15625,-124.21875
160,42.15625,-124.15625
161,42.15625,-124.09375
162,42.15625,-124.03125
163,42.15625,-123.71875
164,42.15625,-123.65625
165,42.15625,-123.59375
166,42.15625,-123.53125
167,42.15625,-123.21875
168,42.15625,-123.09375
169,42.15625,-123.03125
170,42.15625,-122.96875
171,42.15625,-122.90625
172,42.15625,-122.65625
173,42.15625,-122.59375
174,42.15625,-122.03125
175,42.21875,-124.34375
176,42.21875,-124.28125
177,42.21875,-124.21875
178,42.21875,-124.15625
179,42.21875,-124.09375
180,42.21875,-124.03125
181,42.21875,-123.71875
182,42.21875,-123.65625
183,42.21875,-123.59375
184,42.21875,-123.53125
185,42.21875,-123.34375
186,42.21875,-123.28125
187,42.21875,-123.21875
188,42.21875,-123.15625
189,42.21875,-123.09375
190,42.21875,-123.03125
191,42.21875,-122.96875
192,42.21875,-122.84375
193,42.21875,-122.78125
194,42.21875,-122.71875
195,42.21875,-122.65625
196,42.21875,-122.59375
197,42.28125,-124.34375
198,42.28125,-124.28125
199,42.28125,-124.21875
200,42.28125,-124.15625
201,42.28125,-124.09375
202,42.28125,-124.03125
203,42.28125,-123.96875
204,42.28125,-123.71875
205,42.28125,-123.65625
206,42.28125,-123.59375
207,42.28125,-123.53125
208,42.28125,-123.46875
209,42.28125,-123.28125
210,42.28125,-123.21875
211,42.28125,-123.15625
212,42.28125,-123.09375
213,42.28125,-123.03125
214,42.28125,-122.96875
215,42.28125,-122.90625
216,42.28125,-122.84375
217,42.28125,-122.78125
218,42.28125,-122.71875
219,42.34375,-124.34375
220,42.34375,-124.28125
221,42.34375,-124.21875
222,42.34375,-123.78125
223,42.34375,-123.59375
224,42.34375,-123.53125
225,42.34375,-123.46875
226,42.34375,-123.40625
227,42.34375,-123.34375
228,42.34375,-123.28125
229,42.34375,-123.21875
230,42.34375,-123.15625
231,42.34375,-123.09375
232,42.34375,-123.03125
233,42.34375,-122.96875
234,42.34375,-122.90625
235,42.34375,-122.84375
236,42.34375,-122.78125
237,42.34375,-122.71875
238,42.34375,-122.65625
239,42.34375,-122.59375
240,42.34375,-122.53125
241,42.40625,-124.34375
242,42.40625,-124.28125
243,42.40625,-124.03125
244,42.40625,-123.96875
245,42.40625,-123.90625
246,42.40625,-123.59375
247,42.40625,-123.53125
248,42.40625,-123.46875
249,42.40625,-123.40625
250,42.40625,-123.34375
251,42.40625,-123.28125
252,42.40625,-123.21875
253,42.40625,-123.15625
254,42.40625,-123.09375
255,42.40625,-123.03125
256,42.40625,-122.96875
257,42.40625,-122.90625
258,42.40625,-122.84375
259,42.40625,-122.78125
260,42.40625,-122.71875
261,42.40625,-122.65625
262,42.40625,-122.59375
263,42.40625,-122.53125
264,42.46875,-124.34375
265,42.46875,-124.28125
266,42.46875,-124.21875
267,42.46875,-124.03125
268,42.46875,-123.96875
269,42.46875,-123.90625
270,42.46875,-123.84375
271,42.46875,-123.65625
272,42.46875,-123.53125
273,42.46875,-123.46875
274,42.46875,-123.40625
275,42.46875,-123.34375
276,42.46875,-123.28125
277,42.46875,-123.21875
278,42.46875,-123.15625
279,42.46875,-123.09375
280,42.46875,-123.03125
281,42.46875,-122.96875
282,42.46875,-122.90625
283,42.46875,-122.84375
284,42.46875,-122.78125
285,42.46875,-122.71875
286,42.46875,-122.65625
287,42.46875,-122.59375
288,42.46875,-122.03125
289,42.53125,-124.34375
290,42.53125,-124.28125
291,42.53125,-124.21875
292,42.53125,-124.15625
293,42.53125,-124.09375
294,42.53125,-124.03125
295,42.53125,-123.65625
296,42.53125,-123.59375
297,42.53125,-123.53125
298,42.53125,-123.46875
299,42.53125,-123.40625
300,42.53125,-123.34375
301,42.53125,-123.28125
302,42.53125,-123.21875
303,42.53125,-123.15625
