,lat_nwinterior,lon_nwinterior
558,42.28125,-117.34375
559,42.28125,-117.28125
560,42.28125,-117.21875
561,42.28125,-117.15625
562,42.28125,-117.09375
563,42.28125,-117.03125
564,42.28125,-116.96875
565,42.28125,-116.90625
566,42.28125,-116.84375
567,42.28125,-116.78125
568,42.28125,-116.71875
569,42.28125,-116.65625
570,42.28125,-116.59375
571,42.28125,-116.53125
572,42.28125,-116.46875
573,42.28125,-116.40625
574,42.28125,-116.34375
575,42.28125,-116.28125
576,42.28125,-116.21875
577,42.28125,-116.15625
578,42.28125,-116.09375
579,42.28125,-116.03125
580,42.28125,-115.96875
581,42.28125,-115.90625
582,42.28125,-115.84375
583,42.28125,-115.78125
584,42.28125,-115.71875
585,42.28125,-115.65625
586,42.28125,-115.59375
587,42.28125,-115.53125
588,42.28125,-115.46875
589,42.28125,-115.40625
590,42.28125,-115.34375
591,42.28125,-115.28125
592,42.28125,-115.21875
593,42.28125,-115.15625
594,42.28125,-115.09375
595,42.28125,-115.03125
596,42.28125,-114.96875
597,42.28125,-114.90625
598,42.28125,-114.84375
599,42.28125,-114.78125
600,42.28125,-114.71875
601,42.28125,-114.65625
602,42.28125,-114.59375
603,42.28125,-114.53125
604,42.28125,-114.46875
605,42.28125,-114.40625
606,42.28125,-114.34375
607,42.28125,-114.03125
608,42.28125,-113.96875
609,42.28125,-113.90625
610,42.28125,-113.84375
611,42.28125,-113.78125
612,42.28125,-113.59375
613,42.28125,-113.53125
614,42.28125,-113.46875
615,42.28125,-113.40625
616,42.28125,-113.34375
617,42.28125,-113.28125
618,42.28125,-113.21875
619,42.28125,-113.15625
620,42.28125,-113.09375
621,42.28125,-113.03125
622,42.28125,-112.78125
623,42.28125,-112.71875
624,42.28125,-111.96875
625,42.28125,-111.90625
626,42.28125,-111.84375
627,42.28125,-111.71875
628,42.28125,-111.40625
629,42.28125,-111.34375
630,42.28125,-111.28125
631,42.28125,-111.09375
632,42.34375,-121.46875
633,42.34375,-121.40625
634,42.34375,-121.03125
635,42.34375,-120.96875
636,42.34375,-120.90625
637,42.34375,-120.40625
638,42.34375,-120.34375
639,42.34375,-120.28125
640,42.34375,-120.09375
641,42.34375,-120.03125
642,42.34375,-119.96875
643,42.34375,-119.90625
644,42.34375,-119.84375
645,42.34375,-119.78125
646,42.34375,-119.71875
647,42.34375,-119.65625
648,42.34375,-119.59375
649,42.34375,-119.53125
650,42.34375,-119.46875
651,42.34375,-119.40625
652,42.34375,-119.21875
653,42.34375,-119.15625
654,42.34375,-119.09375
655,42.34375,-119.03125
656,42.34375,-118.96875
657,42.34375,-118.90625
658,42.34375,-118.84375
659,42.34375,-118.78125
660,42.34375,-118.71875
661,42.34375,-118.65625
662,42.34375,-118.59375
663,42.34375,-118.53125
664,42.34375,-118.46875
665,42.34375,-118.40625
666,42.34375,-118.34375
667,42.34375,-118.28125
668,42.34375,-118.21875
669,42.34375,-118.15625
670,42.34375,-118.09375
671,42.34375,-118.03125
672,42.34375,-117.96875
673,42.34375,-117.90625
674,42.34375,-117.84375
675,42.34375,-117.78125
676,42.34375,-117.71875
677,42.34375,-117.65625
678,42.34375,-117.59375
679,42.34375,-117.53125
680,42.34375,-117.46875
681,42.34375,-117.40625
682,42.34375,-117.34375
683,42.34375,-117.28125
684,42.34375,-117.21875
685,42.34375,-117.15625
686,42.34375,-117.09375
687,42.34375,-117.03125
688,42.34375,-116.96875
689,42.34375,-116.90625
690,42.34375,-116.84375
691,42.34375,-116.78125
692,42.34375,-116.71875
693,42.34375,-116.65625
694,42.34375,-116.59375
695,42.34375,-116.53125
696,42.34375,-116.46875
697,42.34375,-116.40625
698,42.34375,-116.34375
699,42.34375,-116.28125
700,42.34375,-116.21875
701,42.34375,-116.15625
702,42.34375,-116.09375
703,42.34375,-116.03125
704,42.34375,-115.96875
705,42.34375,-115.90625
706,42.34375,-115.84375
707,42.34375,-115.78125
708,42.34375,-115.71875
709,42.34375,-115.65625
710,42.34375,-115.59375
711,42.34375,-115.53125
712,42.34375,-115.46875
713,42.34375,-115.40625
714,42.34375,-115.34375
715,42.34375,-115.28125
716,42.34375,-115.21875
717,42.34375,-115.15625
718,42.34375,-115.09375
719,42.34375,-115.03125
720,42.34375,-114.96875
721,42.34375,-114.90625
722,42.34375,-114.84375
723,42.34375,-114.78125
724,42.34375,-114.71875
725,42.34375,-114.65625
726,42.34375,-114.59375
727,42.34375,-114.53125
728,42.34375,-114.46875
729,42.34375,-114.40625
730,42.34375,-114.34375
731,42.34375,-114.28125
732,42.34375,-114.21875
733,42.34375,-114.09375
734,42.34375,-114.03125
735,42.34375,-113.96875
736,42.34375,-113.90625
737,42.34375,-113.84375
738,42.34375,-113.78125
739,42.34375,-113.71875
740,42.34375,-113.46875
741,42.34375,-113.40625
742,42.34375,-113.34375
743,42.34375,-113.28125
744,42.34375,-113.21875
745,42.34375,-113.15625
746,42.34375,-112.84375
747,42.34375,-112.59375
748,42.34375,-112.46875
749,42.34375,-112.03125
750,42.34375,-111.71875
751,42.34375,-111.34375
752,42.40625,-121.40625
753,42.40625,-121.34375
754,42.40625,-121.28125
755,42.40625,-121.21875
756,42.40625,-121.09375
757,42.40625,-121.03125
758,42.40625,-120.96875
759,42.40625,-120.90625
760,42.40625,-120.34375
761,42.40625,-120.28125
762,42.40625,-120.09375
763,42.40625,-120.03125
764,42.40625,-119.96875
765,42.40625,-119.90625
766,42.40625,-119.84375
767,42.40625,-119.71875
768,42.40625,-119.65625
769,42.40625,-119.59375
770,42.40625,-119.53125
771,42.40625,-119.46875
772,42.40625,-119.40625
773,42.40625,-119.28125
774,42.40625,-119.21875
775,42.40625,-119.15625
776,42.40625,-119.09375
777,42.40625,-119.03125
778,42.40625,-118.96875
779,42.40625,-118.90625
780,42.40625,-118.84375
781,42.40625,-118.78125
782,42.40625,-118.71875
783,42.40625,-118.65625
784,42.40625,-118.59375
785,42.40625,-118.53125
786,42.40625,-118.46875
787,42.40625,-118.40625
788,42.40625,-118.34375
789,42.40625,-118.28125
790,42.40625,-118.21875
791,42.40625,-118.15625
792,42.40625,-118.09375
793,42.40625,-118.03125
794,42.40625,-117.96875
795,42.40625,-117.90625
796,42.40625,-117.84375
797,42.40625,-117.78125
798,42.40625,-117.71875
799,42.40625,-117.65625
800,42.40625,-117.59375
801,42.40625,-117.53125
802,42.40625,-117.46875
803,42.40625,-117.40625
804,42.40625,-117.34375
805,42.40625,-117.28125
806,42.40625,-117.21875
807,42.40625,-117.15625
808,42.40625,-117.09375
809,42.40625,-117.03125
810,42.40625,-116.96875
811,42.40625,-116.90625
812,42.40625,-116.84375
813,42.40625,-116.78125
814,42.40625,-116.71875
815,42.40625,-116.65625
816,42.40625,-116.59375
817,42.40625,-116.53125
818,42.40625,-116.46875
819,42.40625,-116.40625
820,42.40625,-116.34375
821,42.40625,-116.28125
822,42.40625,-116.21875
823,42.40625,-116.15625
824,42.40625,-116.09375
825,42.40625,-116.03125
826,42.40625,-115.96875
827,42.40625,-115.90625
828,42.40625,-115.84375
829,42.40625,-115.78125
830,42.40625,-115.71875
831,42.40625,-115.65625
832,42.40625,-115.59375
833,42.40625,-115.53125
834,42.40625,-115.46875
835,42.40625,-115.40625
836,42.40625,-115.34375
837,42.40625,-115.28125
838,42.40625,-115.21875
839,42.40625,-115.15625
840,42.40625,-115.09375
841,42.40625,-115.03125
842,42.40625,-114.96875
843,42.40625,-114.90625
844,42.40625,-114.84375
845,42.40625,-114.78125
846,42.40625,-114.71875
847,42.40625,-114.65625
848,42.40625,-114.59375
849,42.40625,-114.53125
850,42.40625,-114.46875
851,42.40625,-114.40625
852,42.40625,-114.34375
853,42.40625,-114.28125
854,42.40625,-114.21875
855,42.40625,-114.15625
856,42.40625,-114.09375
857,42.40625,-114.03125
858,42.40625,-113.96875
859,42.40625,-113.90625
860,42.40625,-113.84375
861,42.40625,-113.78125
862,42.40625,-113.71875
863,42.40625,-113.59375
864,42.40625,-113.53125
865,42.40625,-113.46875
866,42.40625,-113.40625
867,42.40625,-113.34375
868,42.40625,-113.28125
869,42.40625,-113.21875
870,42.40625,-113.15625
871,42.40625,-112.84375
872,42.40625,-112.78125
873,42.40625,-112.59375
874,42.40625,-112.46875
875,42.40625,-112.21875
876,42.40625,-112.15625
877,42.40625,-112.09375
878,42.40625,-112.03125
879,42.40625,-111.71875
880,42.40625,-111.34375
881,42.46875,-121.46875
882,42.46875,-121.40625
883,42.46875,-121.34375
884,42.46875,-121.28125
885,42.46875,-121.21875
886,42.46875,-121.15625
887,42.46875,-121.09375
888,42.46875,-121.03125
889,42.46875,-120.96875
890,42.46875,-120.59375
891,42.46875,-120.40625
892,42.46875,-120.34375
893,42.46875,-120.28125
894,42.46875,-120.09375
895,42.46875,-120.03125
896,42.46875,-119.96875
897,42.46875,-119.90625
898,42.46875,-119.84375
899,42.46875,-119.78125
900,42.46875,-119.59375
901,42.46875,-119.53125
902,42.46875,-119.46875
903,42.46875,-119.40625
904,42.46875,-119.34375
905,42.46875,-119.28125
906,42.46875,-119.21875
907,42.46875,-119.15625
908,42.46875,-119.09375
909,42.46875,-119.03125
910,42.46875,-118.96875
911,42.46875,-118.90625
912,42.46875,-118.84375
913,42.46875,-118.65625
914,42.46875,-118.59375
915,42.46875,-118.53125
916,42.46875,-118.46875
917,42.46875,-118.40625
918,42.46875,-118.34375
919,42.46875,-118.28125
920,42.46875,-118.21875
921,42.46875,-118.15625
922,42.46875,-118.09375
923,42.46875,-118.03125
924,42.46875,-117.96875
925,42.46875,-117.90625
926,42.46875,-117.84375
927,42.46875,-117.78125
928,42.46875,-117.71875
929,42.46875,-117.65625
930,42.46875,-117.59375
931,42.46875,-117.53125
932,42.46875,-117.46875
933,42.46875,-117.40625
934,42.46875,-117.34375
935,42.46875,-117.28125
936,42.46875,-117.21875
937,42.46875,-117.15625
938,42.46875,-117.09375
939,42.46875,-117.03125
940,42.46875,-116.96875
941,42.46875,-116.78125
942,42.46875,-116.71875
943,42.46875,-116.65625
944,42.46875,-116.59375
945,42.46875,-116.53125
946,42.46875,-116.40625
947,42.46875,-116.34375
948,42.46875,-116.28125
949,42.46875,-116.21875
950,42.46875,-116.15625
951,42.46875,-116.09375
952,42.46875,-116.03125
953,42.46875,-115.96875
954,42.46875,-115.90625
955,42.46875,-115.84375
956,42.46875,-115.78125
957,42.46875,-115.71875
958,42.46875,-115.65625
959,42.46875,-115.59375
960,42.46875,-115.53125
961,42.46875,-115.46875
962,42.46875,-115.40625
963,42.46875,-115.34375
964,42.46875,-115.28125
965,42.46875,-115.21875
966,42.46875,-115.15625
967,42.46875,-115.09375
968,42.46875,-115.03125
969,42.46875,-114.96875
970,42.46875,-114.90625
971,42.46875,-114.84375
972,42.46875,-114.78125
973,42.46875,-114.71875
974,42.46875,-114.65625
975,42.46875,-114.59375
976,42.46875,-114.53125
977,42.46875,-114.46875
978,42.46875,-114.40625
979,42.46875,-114.34375
980,42.46875,-114.28125
981,42.46875,-114.21875
982,42.46875,-114.15625
983,42.46875,-114.09375
984,42.46875,-114.03125
985,42.46875,-113.96875
986,42.46875,-113.90625
987,42.46875,-113.84375
988,42.46875,-113.78125
989,42.46875,-113.71875
990,42.46875,-113.65625
991,42.46875,-113.59375
992,42.46875,-113.53125
993,42.46875,-113.46875
994,42.46875,-113.40625
995,42.46875,-113.34375
996,42.46875,-113.28125
997,42.46875,-113.21875
998,42.46875,-113.15625
999,42.46875,-113.09375
1000,42.46875,-112.90625
1001,42.46875,-112.84375
1002,42.46875,-112.78125
1003,42.46875,-112.59375
1004,42.46875,-112.53125
1005,42.46875,-112.21875
1006,42.46875,-112.15625
1007,42.46875,-112.09375
1008,42.46875,-111.78125
1009,42.46875,-111.71875
1010,42.46875,-111.40625
1011,42.53125,-121.46875
1012,42.53125,-121.40625
1013,42.53125,-121.34375
1014,42.53125,-121.28125
1015,42.53125,-121.21875
1016,42.53125,-121.15625
1017,42.53125,-121.09375
1018,42.53125,-121.03125
1019,42.53125,-120.59375
1020,42.53125,-120.46875
1021,42.53125,-120.40625
1022,42.53125,-120.34375
1023,42.53125,-120.28125
1024,42.53125,-120.09375
1025,42.53125,-120.03125
1026,42.53125,-119.96875
1027,42.53125,-119.90625
1028,42.53125,-119.84375
1029,42.53125,-119.78125
1030,42.53125,-119.65625
1031,42.53125,-119.59375
1032,42.53125,-119.53125
1033,42.53125,-119.46875
1034,42.53125,-119.40625
1035,42.53125,-119.34375
1036,42.53125,-119.28125
1037,42.53125,-119.21875
1038,42.53125,-119.15625
1039,42.53125,-119.09375
1040,42.53125,-119.03125
1041,42.53125,-118.96875
1042,42.53125,-118.90625
1043,42.53125,-118.59375
1044,42.53125,-118.53125
1045,42.53125,-118.46875
1046,42.53125,-118.40625
1047,42.53125,-118.34375
1048,42.53125,-118.28125
1049,42.53125,-118.21875
