,lat_greatbasin,lon_greatbasin
92,35.84375,-115.71875
93,35.84375,-115.65625
94,35.84375,-115.59375
95,35.84375,-115.53125
96,35.84375,-115.46875
97,35.84375,-115.40625
98,35.84375,-115.34375
99,35.84375,-115.28125
100,35.84375,-115.21875
101,35.84375,-115.15625
102,35.84375,-115.03125
103,35.84375,-114.96875
104,35.84375,-114.90625
105,35.84375,-114.84375
106,35.84375,-114.78125
107,35.90625,-115.96875
108,35.90625,-115.90625
109,35.90625,-115.84375
110,35.90625,-115.78125
111,35.90625,-115.71875
112,35.90625,-115.65625
113,35.90625,-115.59375
114,35.90625,-115.53125
115,35.90625,-115.46875
116,35.90625,-115.40625
117,35.90625,-115.03125
118,35.90625,-114.96875
119,35.90625,-114.90625
120,35.90625,-114.84375
121,35.90625,-114.78125
122,35.96875,-115.96875
123,35.96875,-115.90625
124,35.96875,-115.84375
125,35.96875,-115.78125
126,35.96875,-115.71875
127,35.96875,-115.65625
128,35.96875,-115.59375
129,35.96875,-115.53125
130,35.96875,-114.90625
131,35.96875,-114.84375
132,36.03125,-116.03125
133,36.03125,-115.96875
134,36.03125,-115.90625
135,36.03125,-115.84375
136,36.03125,-115.78125
137,36.03125,-115.71875
138,36.03125,-115.65625
139,36.03125,-115.59375
140,36.03125,-115.53125
141,36.09375,-116.09375
142,36.09375,-116.03125
143,36.09375,-115.96875
144,36.09375,-115.90625
145,36.09375,-115.84375
146,36.09375,-115.78125
147,36.09375,-115.71875
148,36.09375,-115.65625
149,36.09375,-115.59375
150,36.09375,-115.53125
151,36.15625,-116.15625
152,36.15625,-116.09375
153,36.15625,-116.03125
154,36.15625,-115.96875
155,36.15625,-115.90625
156,36.15625,-115.84375
157,36.15625,-115.78125
158,36.15625,-115.71875
159,36.15625,-115.65625
160,36.15625,-115.59375
161,36.21875,-116.21875
162,36.21875,-116.15625
163,36.21875,-116.09375
164,36.21875,-116.03125
165,36.21875,-115.96875
166,36.21875,-115.90625
167,36.21875,-115.84375
168,36.21875,-115.78125
169,36.28125,-116.21875
170,36.28125,-116.15625
171,36.28125,-116.09375
172,36.28125,-116.03125
173,36.28125,-115.96875
174,36.28125,-115.90625
175,36.28125,-115.84375
176,36.28125,-115.78125
177,36.34375,-116.03125
178,36.34375,-115.96875
179,36.34375,-115.90625
180,36.34375,-115.84375
181,36.40625,-116.09375
182,36.40625,-116.03125
183,36.40625,-115.96875
184,36.40625,-115.90625
185,36.40625,-115.84375
186,36.40625,-115.71875
187,36.46875,-115.90625
188,36.46875,-115.84375
189,36.46875,-115.78125
190,36.46875,-115.71875
191,36.53125,-115.96875
192,36.53125,-115.90625
193,36.53125,-115.84375
194,36.53125,-115.78125
195,36.53125,-115.71875
196,36.53125,-115.65625
197,36.59375,-115.90625
198,36.59375,-115.84375
199,36.59375,-115.78125
200,36.59375,-115.71875
201,36.59375,-115.65625
202,36.65625,-115.90625
203,36.65625,-115.84375
204,36.65625,-115.78125
205,36.65625,-115.71875
206,36.65625,-115.65625
207,36.65625,-115.59375
208,36.71875,-116.09375
209,36.71875,-116.03125
210,36.71875,-115.96875
211,36.71875,-115.90625
212,36.71875,-115.84375
213,36.71875,-115.78125
214,36.71875,-115.71875
215,36.71875,-115.65625
216,36.71875,-115.59375
217,36.71875,-115.21875
218,36.78125,-116.15625
219,36.78125,-116.09375
220,36.78125,-116.03125
221,36.78125,-115.96875
222,36.78125,-115.90625
223,36.78125,-115.84375
224,36.78125,-115.78125
225,36.78125,-115.71875
226,36.78125,-115.65625
227,36.78125,-115.59375
228,36.78125,-115.53125
229,36.78125,-115.46875
230,36.78125,-115.40625
231,36.78125,-115.34375
232,36.78125,-115.28125
233,36.78125,-115.21875
234,36.78125,-115.15625
235,36.84375,-116.15625
236,36.84375,-116.09375
237,36.84375,-116.03125
238,36.84375,-115.96875
239,36.84375,-115.90625
240,36.84375,-115.84375
241,36.84375,-115.78125
242,36.84375,-115.71875
243,36.84375,-115.65625
