,lat_coastalsouth,lon_coastalsouth
2057,37.40625,-121.46875
2058,37.40625,-121.40625
2059,37.40625,-121.34375
2060,37.40625,-121.28125
2061,37.40625,-121.21875
2062,37.40625,-121.15625
2063,37.40625,-121.09375
2064,37.40625,-121.03125
2065,37.40625,-120.96875
2066,37.40625,-120.90625
2067,37.40625,-120.84375
2068,37.40625,-120.78125
2069,37.40625,-120.71875
2070,37.40625,-120.65625
2071,37.40625,-120.59375
2072,37.40625,-120.53125
2073,37.40625,-120.46875
2074,37.40625,-120.40625
2075,37.40625,-120.34375
2076,37.40625,-120.28125
2077,37.40625,-120.21875
2078,37.40625,-120.15625
2079,37.40625,-120.09375
2080,37.40625,-120.03125
2081,37.40625,-119.96875
2082,37.40625,-119.90625
2083,37.40625,-119.84375
2084,37.40625,-119.78125
2085,37.40625,-119.71875
2086,37.40625,-119.65625
2087,37.46875,-122.34375
2088,37.46875,-122.28125
2089,37.46875,-122.21875
2090,37.46875,-122.15625
2091,37.46875,-121.90625
2092,37.46875,-121.84375
2093,37.46875,-121.78125
2094,37.46875,-121.71875
2095,37.46875,-121.65625
2096,37.46875,-121.59375
2097,37.46875,-121.53125
2098,37.46875,-121.46875
2099,37.46875,-121.40625
2100,37.46875,-121.34375
2101,37.46875,-121.28125
2102,37.46875,-121.21875
2103,37.46875,-121.15625
2104,37.46875,-121.09375
2105,37.46875,-121.03125
2106,37.46875,-120.96875
2107,37.46875,-120.90625
2108,37.46875,-120.84375
2109,37.46875,-120.78125
2110,37.46875,-120.71875
2111,37.46875,-120.65625
2112,37.46875,-120.59375
2113,37.46875,-120.53125
2114,37.46875,-120.46875
2115,37.46875,-120.40625
2116,37.46875,-120.34375
2117,37.46875,-120.28125
2118,37.46875,-120.21875
2119,37.46875,-120.15625
2120,37.46875,-120.09375
2121,37.46875,-120.03125
2122,37.46875,-119.96875
2123,37.46875,-119.90625
2124,37.46875,-119.84375
2125,37.46875,-119.78125
2126,37.46875,-119.71875
2127,37.53125,-122.46875
2128,37.53125,-122.40625
2129,37.53125,-122.34375
2130,37.53125,-122.28125
2131,37.53125,-122.03125
2132,37.53125,-121.96875
2133,37.53125,-121.90625
2134,37.53125,-121.84375
2135,37.53125,-121.78125
2136,37.53125,-121.71875
2137,37.53125,-121.65625
2138,37.53125,-121.59375
2139,37.53125,-121.53125
2140,37.53125,-121.46875
2141,37.53125,-121.40625
2142,37.53125,-121.34375
2143,37.53125,-121.28125
2144,37.53125,-121.21875
2145,37.53125,-121.15625
2146,37.53125,-121.09375
2147,37.53125,-121.03125
2148,37.53125,-120.96875
2149,37.53125,-120.90625
2150,37.53125,-120.84375
2151,37.53125,-120.78125
2152,37.53125,-120.71875
2153,37.53125,-120.65625
2154,37.53125,-120.59375
2155,37.53125,-120.53125
2156,37.53125,-120.46875
2157,37.53125,-120.40625
2158,37.53125,-120.34375
2159,37.53125,-120.28125
2160,37.53125,-120.21875
2161,37.53125,-120.15625
2162,37.53125,-120.09375
2163,37.53125,-120.03125
2164,37.53125,-119.96875
2165,37.53125,-119.90625
2166,37.53125,-119.84375
2167,37.59375,-122.46875
2168,37.59375,-122.40625
2169,37.59375,-122.34375
2170,37.59375,-122.03125
2171,37.59375,-121.96875
2172,37.59375,-121.90625
2173,37.59375,-121.84375
2174,37.59375,-121.78125
2175,37.59375,-121.71875
2176,37.59375,-121.65625
2177,37.59375,-121.59375
